Indiv_id	Groundtrth	Size_id	Community_	Grass_heig	Andropog_c	Tree_densi	Geol_id	Xval	Yval	Fire5698	Altitude	Slope	Aspect	Rsp	Trmi	Twi
281	554	2	BG	patchy	chlorodoid	1	6	90800.523657	-3118403.339434	14	250	8	155	5	30	-2.11
282	555	2	BG	tall grass	chlorodoid	0	6	90784.951056	-3118441.86597	14	243	11	187	15	41	-0.83
283	556	2	BG	patchy	unclear	2	6	90766.807807	-3118472.049336	14	243	11	187	15	41	-0.83
284	557	2	BG	tall grass	chlorodoid	2	6	90750.803671	-3118498.087331	14	233	12	195	5	29	-2.39
285	558	2	BG	tall grass	chlorodoid	2	6	90727.351581	-3118533.581219	14	215	13	210	15	39	-1.85
286	559	2	BG	tall grass	chlorodoid	2	7	90711.847274	-3118563.190264	14	215	13	210	15	39	-1.85
287	560	2	BG	tall grass	chlorodoid	2	7	90696.919651	-3118586.263713	14	206	10	212	15	38	-1.61
288	561	2	BG	tall grass	panicoid	3	7	90688.836257	-3118609.983885	13	201	7	211	15	39	0.85
289	562	2	BG	tall grass	panicoid	3	7	90672.283024	-3118638.990387	13	197	4	209	15	42	1.78
290	563	2	BG	tall grass	panicoid	3	7	90654.635504	-3118673.339598	13	197	4	209	15	42	1.78
291	564	2	BG	tall grass	panicoid	3	5	90636.474826	-3118705.90122	13	196	1	89	15	34	3.17
292	565	2	BG	tall grass	panicoid	3	5	90625.135751	-3118742.081957	13	197	3	80	15	32	-0.21
293	566	2	BG	tall grass	chlorodoid	3	5	90577.392201	-3118785.120453	14	200	4	76	15	34	1.02
294	567	2	BG	tall grass	chlorodoid	3	5	90557.64695	-3118818.264635	14	200	4	76	15	34	1.02
295	568	2	BG	tall grass	chlorodoid	3	5	90533.687302	-3118851.376815	14	206	5	94	15	34	0.36
296	569	2	BG	tall grass	chlorodoid	3	5	90518.129644	-3118888.120191	14	204	6	116	5	25	-1.85
297	570	2	BG	tall grass	chlorodoid	3	5	90496.245863	-3118925.410128	14	201	8	118	15	46	-1.35
298	571	2	BG	tall grass	chlorodoid	3	5	90472.336264	-3118951.982799	14	207	6	119	15	36	-1.19
299	572	1	BG	tall grass	chlorodoid	3	5	90455.257193	-3118980.985699	14	204	6	121	15	36	-0.11
300	573	1	LG	short grass	unclear	3	5	90434.409323	-3119020.661702	14	208	5	134	15	38	-1.01
301	574	1	BG	tall grass	andropogonoid	1	5	90417.789555	-3119058.586237	14	205	4	131	15	38	-0.88
302	575	1	patchy	short grass	unclear	1	5	90397.500321	-3119094.104739	14	202	4	128	15	38	-0.85
303	576	1	LG	short grass	unclear	1	5	90374.590737	-3119127.819794	14	202	3	141	5	29	-1.16
304	577	2	LG	short grass	unclear	0	5	90359.547177	-3119166.35086	14	202	3	141	5	29	-1.16
305	578	2	LG	short grass	unclear	0	5	90330.280204	-3119204.774062	14	202	2	150	5	31	-0.66
306	579	2	LG	short grass	unclear	0	5	90316.862338	-3119237.372109	14	200	2	136	5	38	-1.04
307	580	2	LG	short grass	unclear	0	5	90282.881577	-3119272.192481	14	201	1	184	5	37	0.07
308	581	2	LG	short grass	unclear	0	5	90268.910084	-3119308.353576	14	200	2	167	5	33	-0.7
309	582	2	LG	short grass	unclear	0	5	90243.371821	-3119341.454447	14	197	3	192	5	32	-0.95
310	583	2	LG	short grass	unclear	0	5	90218.864745	-3119377.53577	14	194	3	181	15	46	-0.15
311	584	2	LG	short grass	unclear	0	5	90268.661835	-3119410.612907	13	193	3	164	5	35	-1.15
374	585	1	BG	tall grass	chlorodoid	2	2	96759.583658	-3116174.896735	7	178	3	131	5	28	-1.32
375	586	2	BG	tall grass	chlorodoid	2	2	96727.726231	-3116204.365812	9	180	3	139	5	29	-1.21
376	587	2	BG	tall grass	chlorodoid	2	2	96695.351669	-3116232.641655	10	179	4	161	5	31	-1.48
377	588	2	BG	tall grass	chlorodoid	2	2	96670.847539	-3116265.143251	10	179	4	161	5	31	-1.48
378	589	1	BG	tall grass	chlorodoid	2	2	96641.601143	-3116297.606456	10	175	6	162	15	51	0.38
379	590	1	BG	tall grass	unclear	2	2	96612.383807	-3116326.502718	9	169	7	152	15	49	-0.11
380	591	1	BG	tall grass	chlorodoid	2	2	96583.751331	-3116348.269069	10	173	6	140	15	48	-0.41
381	592	2	BG	tall grass	andropogonoid	2	2	96553.456333	-3116380.129479	9	168	6	127	15	44	-0.07
382	593	2	BG	tall grass	andropogonoid	3	2	96521.595148	-3116410.19355	10	173	5	124	15	47	-1.07
383	594	2	BG	tall grass	chlorodoid	3	2	96488.124482	-3116443.812032	10	175	4	131	15	38	-0.85
384	595	2	BG	tall grass	chlorodoid	2	2	96454.127073	-3116477.426342	10	172	4	136	15	42	-0.76
385	596	2	BG	tall grass	chlorodoid	2	2	96425.427934	-3116507.516236	10	174	3	157	5	34	-1.28
386	597	2	BG	tall grass	andropogonoid	2	2	96395.694327	-3116535.219704	10	171	4	191	5	32	-1.27
387	598	2	BG	tall grass	chlorodoid	2	2	96366.482971	-3116563.521968	10	171	4	191	5	32	-1.27
388	599	2	BG	tall grass	chlorodoid	2	2	96338.8333	-3116594.215045	10	165	6	214	15	39	-1.14
389	600	2	BG	tall grass	chlorodoid	2	2	96309.104911	-3116621.324255	10	165	6	214	15	39	-1.14
390	601	2	BG	tall grass	chlorodoid	2	2	96281.474724	-3116649.639488	9	155	8	209	15	49	-0.66
391	602	2	BG	tall grass	chlorodoid	0	2	96242.161333	-3116689.15692	9	146	4	201	15	41	3.35
392	603	2	BG	tall grass	chlorodoid	0	2	96213.999751	-3116718.062515	9	146	4	201	15	41	3.35
393	604	2	BG	tall grass	chlorodoid	2	2	96177.369329	-3116751.65632	8	140	0	-1	15	39	6.94
394	605	2	BG	tall grass	chlorodoid	2	2	96146.602265	-3116776.973802	8	139	0	-1	15	39	4.32
395	606	2	BG	tall grass	chlorodoid	3	2	96116.817248	-3116811.217497	7	141	0	45	15	35	3.9
396	607	2	BG	tall grass	chlorodoid	3	2	96083.367997	-3116842.458988	7	148	5	57	15	30	-0.19
397	608	2	BG	tall grass	chlorodoid	3	0	96058.402131	-3116867.228939	7	148	5	57	15	30	-0.19
398	609	2	BG	tall grass	andropogonoid	3	0	96030.25098	-3116894.94602	8	157	5	55	15	30	-0.99
399	610	2	BG	tall grass	andropogonoid	3	0	96001.041367	-3116923.249143	8	157	5	55	15	30	-0.99
